具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台,浏览人数,申请人数,招聘人数,公司人数,学历限制,经验限制,工作地址,职位描述,公司介绍,公司行业,认证类别,公司招聘职位总数,公司类别
北京·大兴区,生产操作员,4-5千,五险一金|五险一金|定期体检|定期体检|带薪年假|带薪年假|,福莱克斯光变颜料有限公司,机械/设备/重工|外资（欧美）|,,,,,,2025/04/02 10:08:03,51job,1天内处理简历,,外资（欧美）,,中技/中专,2年及以上,北京·大兴区,,,机械/设备/重工,,,
北京·昌平区,年前小时工昌平沙河（免费管吃）,5-7千,工作轻松|工作轻松|工作餐|工作餐|小时工|小时工|管吃|管吃|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:08:03,51job,今日回复10+次,,500-1000人,,高中,无需经验,北京·昌平区,,,交通/运输/物流,,,
北京,家门口的线上超市8000+,8千-1万,分拣|分拣|打包|打包|理货|理货|服务行业|服务行业|拣货|拣货|搬运|搬运|水产|水产|卸载|卸载|陈列|陈列|上架|上架|节假日三薪|节假日三薪|房补|房补|就近安排|就近安排|提供住宿|提供住宿|可以预支|可以预支|,上海沃莴鲜网络科技有限公司,快速消费品(食品、饮料、化妆品)|民营|50-150人|,,,,,,2025/04/02 10:08:04,51job,今日回复5次,,50-150人,,,无需经验,北京,,,快速消费品(食品、饮料、化妆品),,,
北京·昌平区,278.3元/天，纯白班小时工昌平沙河（免费管吃）,6-8千,工作轻松|工作轻松|有住宿|有住宿|小时工|小时工|免费管吃|免费管吃|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:08:04,51job,今日回复10+次,,500-1000人,,高中,无需经验,北京·昌平区,,,交通/运输/物流,,,
苏州·虎丘区,包装工月入过万坐岗长白班,9千-1.1万·13薪,可预支薪水|可预支薪水|包吃包住|包吃包住|包吃住|包吃住|五险一金|五险一金|绩效奖金|绩效奖金|高温补贴|高温补贴|餐饮补贴|餐饮补贴|房补|房补|补充医疗保险|补充医疗保险|商业保险|商业保险|带薪年假|带薪年假|全勤奖|全勤奖|定期体检|定期体检|工作轻松|工作轻松|可预支|可预支|人走账清|人走账清|双休|双休|,苏州工无忧企业管理服务有限公司,计算机软件|民营|10000人以上|,,,,,,2025/04/02 10:08:04,51job,简历处理快,,10000人以上,,,无需经验,苏州·虎丘区,,,计算机软件,,,
北京,外企操作工,5-7千,生产操作|生产操作|生产过程控制|生产过程控制|生产流程控制|生产流程控制|生产设备|生产设备|免费班车|免费班车|绩效奖金|绩效奖金|年终奖金|年终奖金|,利乐（中国）,机械/设备/重工|外资（欧美）|1000-5000人|,,,,,,2025/04/02 10:08:04,51job,今日回复5次,,1000-5000人,,中技/中专,1年及以上,北京,,,机械/设备/重工,,,
北京,进厂交友49/H组装耳机,9千-1.5万,五险一金|五险一金|弹性工作|弹性工作|绩效奖金|绩效奖金|年终奖金|年终奖金|餐饮补贴|餐饮补贴|通讯补贴|通讯补贴|住房补贴|住房补贴|,腾通企业管理（山东）有限公司,电子技术/半导体/集成电路|合资|10000人以上|,,,,,,2025/04/02 10:08:04,51job,简历处理快,,10000人以上,,,无需经验,北京,,,电子技术/半导体/集成电路,,,
北京·昌平区,278.3元/天昌平沙河招纯白班小时工（免费管吃）,7-8千,纯白班|纯白班|免费管吃|免费管吃|工作餐|工作餐|工作轻松|工作轻松|白班|白班|可预支|可预支|有住宿|有住宿|管吃|管吃|管住|管住|住宿|住宿|班车接送|班车接送|宿舍|宿舍|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:08:05,51job,今日回复10+次,,500-1000人,,,无需经验,北京·昌平区,,,交通/运输/物流,,,
北京,650/天 专送0元入职,9千-1.5万,配送|配送|送餐|送餐|骑手|骑手|快递|快递|司机|司机|普工|普工|商超配送|商超配送|跑腿|跑腿|美团|美团|饿了么|饿了么|绩效奖金|绩效奖金|弹性工作|弹性工作|交通补贴|交通补贴|餐饮补贴|餐饮补贴|专业培训|专业培训|提供住宿|提供住宿|可以预支|可以预支|,郑州万众建筑劳务有限公司,专业服务(咨询、人力资源、财会)|民营|50-150人|,,,,,,2025/04/02 10:08:05,51job,,,50-150人,,,2年及以上,北京,,,专业服务(咨询、人力资源、财会),,,
苏州·虎丘区,360一天包吃住坐岗长白班,8-9千,可预支薪水|可预支薪水|包吃包住|包吃包住|包吃住|包吃住|五险一金|五险一金|绩效奖金|绩效奖金|高温补贴|高温补贴|餐饮补贴|餐饮补贴|房补|房补|补充医疗保险|补充医疗保险|商业保险|商业保险|带薪年假|带薪年假|全勤奖|全勤奖|定期体检|定期体检|工作轻松|工作轻松|可预支|可预支|人走账清|人走账清|双休|双休|,苏州工无忧企业管理服务有限公司,计算机软件|民营|10000人以上|,,,,,,2025/04/02 10:08:05,51job,今日回复10+次,,10000人以上,,,无需经验,苏州·虎丘区,,,计算机软件,,,
北京,北京制药厂360一天长白班+包吃住,8千-1.2万,包吃|包吃|包住|包住|五险一金|五险一金|年终奖金|年终奖金|绩效奖金|绩效奖金|人走账清|人走账清|可预支|可预支|工作轻松|工作轻松|,青岛昌佳祥企业管理咨询有限公司,专业服务(咨询、人力资源、财会)|民营|10000人以上|,,,,,,2025/04/02 10:08:05,51job,1分钟前回复,,10000人以上,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·昌平区,手工修蜡,5千-1万,普工操作工|普工操作工|手工|手工|***|***|技工|技工|带薪年假|带薪年假|加班补贴|加班补贴|绩效奖金|绩效奖金|定期体检|定期体检|员工旅游|员工旅游|五险一金|五险一金|节日福利|节日福利|年终奖金|年终奖金|食堂宿舍|食堂宿舍|,北京昌航精铸技术有限公司,贸易/进出口|民营|50-150人|,,,,,,2025/04/02 10:08:05,51job,1天内处理简历,,50-150人,,初中及以下,2年,北京·昌平区,,,贸易/进出口,,,
北京,扫码贴标签坐岗420一天,8千-1.1万·13薪,仓库管理|仓库管理|操作|操作|贴标签|贴标签|品检|品检|包装|包装|扫码|扫码|绩效奖金|绩效奖金|人走账清|人走账清|年终奖金|年终奖金|五险|五险|弹性工作|弹性工作|免费班车|免费班车|交通补贴|交通补贴|包吃住|包吃住|五险一金|五险一金|餐饮补贴|餐饮补贴|工作轻松|工作轻松|专业培训|专业培训|可预支|可预支|,和众力晟企业管理（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|500-1000人|,,,,,,2025/04/02 10:08:06,51job,回复率高,,500-1000人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,年前昌平招万能工,6-7千,工作轻松|工作轻松|白班|白班|工作餐|工作餐|新能源|新能源|可预支|可预支|包吃住|包吃住|体检|体检|管住|管住|管吃|管吃|住宿|住宿|预支工资|预支工资|班车接送|班车接送|管吃住|管吃住|,直聘达人数据（武汉）有限公司,交通/运输/物流|民营|500-1000人|,,,,,,2025/04/02 10:08:06,51job,,,500-1000人,,,无需经验,北京,,,交通/运输/物流,,,
苏州·吴中区,手机壳扫码员380/天坐班人走账清,6-8千,包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|五险|五险|年终奖金|年终奖金|高温补贴|高温补贴|交通补贴|交通补贴|房补|房补|带薪年假|带薪年假|全勤奖|全勤奖|员工旅游|员工旅游|工作轻松|工作轻松|可预支|可预支|人走账清|人走账清|,安徽庆泽人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|150-500人|,,,,,,2025/04/02 10:08:06,51job,简历处理快,,150-500人,,,无需经验,苏州·吴中区,,,专业服务(咨询、人力资源、财会),,,
北京,生产辅助工(五险一金免费食宿）,7-9千,专业培训|专业培训|餐饮补贴|餐饮补贴|定期体检|定期体检|绩效奖金|绩效奖金|免费班车|免费班车|包吃|包吃|社保|社保|弹性工作|弹性工作|免费食宿|免费食宿|培训|培训|包吃包住|包吃包住|五险|五险|,武汉翎能新能源科技有限公司,新能源|民营|150-500人|,,,,,,2025/04/02 10:08:06,51job,1天内处理简历,,150-500人,,中技/中专,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
苏州·吴中区,数据线包装360/天坐班人走账清,6-8千·13薪,五险一金|五险一金|补充医疗保险|补充医疗保险|交通补贴|交通补贴|餐饮补贴|餐饮补贴|通讯补贴|通讯补贴|专业培训|专业培训|年终奖金|年终奖金|绩效奖金|绩效奖金|定期体检|定期体检|,安徽庆泽人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|150-500人|,,,,,,2025/04/02 10:07:55,51job,今日回复10+次,,150-500人,,,无需经验,苏州·吴中区,,,专业服务(咨询、人力资源、财会),,,
北京·平谷区,北京饮料厂贴签/360天/包吃住,8千-1.1万·13薪,包装|包装|品检|品检|仓库管理|仓库管理|操作|操作|扫码|扫码|物料员|物料员|贴标签|贴标签|巡检|巡检|招聘|招聘|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|包住|包住|交通补贴|交通补贴|带薪年假|带薪年假|五险一金|五险一金|五险|五险|餐饮补贴|餐饮补贴|专业培训|专业培训|社保|社保|,昱泽信息科技（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:56,51job,今日回复10+次,,少于50人,,,无需经验,北京·平谷区,,,专业服务(咨询、人力资源、财会),,,
北京,北京啤酒厂月9000包吃住/奖金5k,9千-1.2万,测试|测试|组装产品|组装产品|检验|检验|质检|质检|贴标签|贴标签|操作工|操作工|路费报销|路费报销|包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|年终奖金|年终奖金|绩效奖金|绩效奖金|加班补贴|加班补贴|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|弹性工作|弹性工作|全勤奖|全勤奖|工龄奖|工龄奖|,全椒宏弈人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:56,51job,今日回复10+次,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,北京啤酒厂360/天包吃住+奖金5k,9千-1.3万·13薪,测试|测试|包吃住|包吃住|包吃|包吃|包住|包住|人走账清|人走账清|可预支|可预支|,全椒宏弈人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:56,51job,今日回复10+次,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·丰台区,北京360/天（耳机厂）急招质检仓管员贴标包吃住奖金5K,9千-1.3万,包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|年终奖金|年终奖金|房补|房补|交通补贴|交通补贴|节日福利|节日福利|带薪年假|带薪年假|全勤奖|全勤奖|工龄奖|工龄奖|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|,苏州美都服务外包有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:56,51job,2分钟前回复,,少于50人,,,无需经验,北京·丰台区,,,专业服务(咨询、人力资源、财会),,,
北京·东城区,北京玩具厂贴签/360天/包吃住,8千-1.1万·13薪,包装|包装|品检|品检|仓库管理|仓库管理|操作|操作|扫码|扫码|物料员|物料员|贴标签|贴标签|巡检|巡检|招聘|招聘|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|包住|包住|交通补贴|交通补贴|带薪年假|带薪年假|五险一金|五险一金|五险|五险|餐饮补贴|餐饮补贴|专业培训|专业培训|社保|社保|,昱泽信息科技（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:57,51job,今日回复10+次,,少于50人,,,无需经验,北京·东城区,,,专业服务(咨询、人力资源、财会),,,
北京,北京360/天饮料厂包装,9千-1.2万,包吃住|包吃住|五险一金|五险一金|年终奖金|年终奖金|绩效奖金|绩效奖金|加班补贴|加班补贴|全勤奖|全勤奖|工龄奖|工龄奖|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|介绍奖金2000|介绍奖金2000|留任奖金5000|留任奖金5000|,山东百鑫人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|50-150人|,,,,,,2025/04/02 10:07:57,51job,今日回复10+次,,50-150人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,北京新能源380天人走账清,9.8千-1.2万·13薪,招聘|招聘|包装|包装|仓库管理|仓库管理|贴标签|贴标签|物料|物料|操作|操作|品检|品检|扫码|扫码|手工活|手工活|巡检|巡检|包吃住|包吃住|五险一金|五险一金|年终奖金|年终奖金|加班补贴|加班补贴|交通补贴|交通补贴|餐饮补贴|餐饮补贴|房补|房补|补充医疗保险|补充医疗保险|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|弹性工作|弹性工作|商业保险|商业保险|带薪年假|带薪年假|全勤奖|全勤奖|,山东埕信闳商务管理有限公司,专业服务(咨询、人力资源、财会)|民营|500-1000人|,,,,,,2025/04/02 10:07:57,51job,3分钟前回复,,500-1000人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·房山区,轧机操作工,6-8千,五险一金|五险一金|节日福利|节日福利|公司宿舍|公司宿舍|管吃管住|管吃管住|事业单位|事业单位|团建活动|团建活动|环境好|环境好|食堂|食堂|过节福利|过节福利|,北京普惠三航科技有限公司,计算机软件|民营|,,,,,,2025/04/02 10:07:57,51job,今日回复7次,,民营,,,1-8年,北京·房山区,,,计算机软件,,,
北京·通州区,通州区玩具厂贴签/360天/包吃住,8千-1.1万·13薪,包装|包装|品检|品检|仓库管理|仓库管理|操作|操作|扫码|扫码|物料员|物料员|贴标签|贴标签|巡检|巡检|招聘|招聘|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|包住|包住|交通补贴|交通补贴|带薪年假|带薪年假|五险一金|五险一金|五险|五险|餐饮补贴|餐饮补贴|专业培训|专业培训|社保|社保|,昱泽信息科技（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:57,51job,今日回复10+次,,少于50人,,,无需经验,北京·通州区,,,专业服务(咨询、人力资源、财会),,,
北京,大兴360一天医疗厂+免费包吃住/五险一金,9千-1.3万·13薪,测试|测试|包吃住|包吃住|包吃|包吃|包住|包住|,山东百鑫人力资源有限公司,汽车零配件|民营|少于50人|,,,,,,2025/04/02 10:07:58,51job,3分钟前回复,,少于50人,,,无需经验,北京,,,汽车零配件,,,
北京,北京360一天啤酒厂+免费包吃住,9千-1.3万·13薪,包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|五险|五险|社保|社保|年终奖金|年终奖金|绩效奖金|绩效奖金|加班补贴|加班补贴|高温补贴|高温补贴|交通补贴|交通补贴|餐饮补贴|餐饮补贴|房补|房补|带薪年假|带薪年假|人走账清|人走账清|,苏州美都服务外包有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:58,51job,1分钟前回复,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·房山区,蜂窝点焊,5-7千,线束|线束|包吃住|包吃住|五险一金|五险一金|年度体检|年度体检|团建活动|团建活动|过节福利|过节福利|,北京普惠三航科技有限公司,计算机软件|民营|,,,,,,2025/04/02 10:07:58,51job,今日回复7次,,民营,,高中,无需经验,北京·房山区,,,计算机软件,,,
北京,北京新能源厂360一天+奖5K,9千-1.3万·13薪,测试|测试|包吃住|包吃住|包吃|包吃|包住|包住|人走账清|人走账清|可预支|可预支|,苏州典曼企业管理有限公司,专业服务(咨询、人力资源、财会)|民营|150-500人|,,,,,,2025/04/02 10:07:58,51job,1分钟前回复,,150-500人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
保定·涿州市,渠道销售,5-6千,会开叉车优先|会开叉车优先|提成奖金|提成奖金|年终奖金|年终奖金|出国机会|出国机会|专业培训|专业培训|,三河市禹渡防水材料有限公司,建筑/建材/工程|民营|少于50人|,,,,,,2025/04/02 10:07:58,51job,今日回复10+次,,少于50人,,中技/中专,无需经验,保定·涿州市,,,建筑/建材/工程,,,
北京,腐竹、豆皮,5-6千,绩效|绩效|夜班补贴|夜班补贴|,天津福联人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:58,51job,简历处理快,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·房山区,蜂窝点焊,5-7千,线束|线束|航空航天|航空航天|加班补贴|加班补贴|五险一金|五险一金|绩效奖金|绩效奖金|大小周|大小周|,北京普惠三航科技有限公司,计算机软件|民营|,,,,,,2025/04/02 10:07:58,51job,今日回复10+次,,民营,,高中,无需经验,北京·房山区,,,计算机软件,,,
北京,操作工,4-7千,单休|单休|,乐普（北京）医疗器械股份有限公司,医疗设备/器械|已上市|1000-5000人|,,,,,,2025/04/02 10:07:59,51job,今日回复5次,,1000-5000人,,,无需经验,北京,,,医疗设备/器械,,,
北京·朝阳区,光学元器件清洗工,4-4.5千·13薪,五险一金|五险一金|年终奖金|年终奖金|带薪年假|带薪年假|餐饮补贴|餐饮补贴|定期体检|定期体检|员工旅游|员工旅游|,北京欧普特科技有限公司,原材料和加工|民营|50-150人|,,,,,,2025/04/02 10:07:59,51job,简历处理快,,50-150人,,中技/中专,无需经验,北京·朝阳区,,,原材料和加工,,,
北京·大兴区,大兴食品厂,5.5-6.5千,包吃住|包吃住|绩效奖金|绩效奖金|全勤奖|全勤奖|工作轻松|工作轻松|绩效|绩效|夜班补贴|夜班补贴|,天津福联人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:59,51job,今日回复3次,,少于50人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京·昌平区,医学科普编辑,1.5-2.5万,药学|药学|项目管理|项目管理|教育|教育|分子生物学|分子生物学|生物化学|生物化学|推广|推广|生物学|生物学|微生物学|微生物学|教育学|教育学|生物医药|生物医药|普工|普工|五险一金|五险一金|带薪年假|带薪年假|零食下午茶|零食下午茶|定期团建|定期团建|出差补贴|出差补贴|,中科微智(北京)生物科技有限公司,制药/生物工程|民营|50-150人|,,,,,,2025/04/02 10:07:50,51job,喜欢聊天,,50-150人,,硕士,3年及以上,北京·昌平区,,,制药/生物工程,,,
北京,普工,5-7千,普工|普工|包装工|包装工|试剂盒生产|试剂盒生产|生产|生产|打包|打包|五险一金|五险一金|绩效奖金|绩效奖金|员工旅游|员工旅游|周末双休|周末双休|免费班车|免费班车|节日福利|节日福利|带薪年假|带薪年假|员工宿舍|员工宿舍|,北京索莱宝科技有限公司,制药/生物工程|民营|150-500人|,,,,,,2025/04/02 10:07:50,51job,,,150-500人,,高中,无需经验,北京,,,制药/生物工程,,,
北京·朝阳区,普工（钢筋工、木工、瓦工）,5-5.5千,木工|木工|瓦工|瓦工|管工|管工|万能工|万能工|,北京首佳物业管理有限公司,物业管理/商业中心|民营|500-1000人|,,,,,,2025/04/02 10:07:50,51job,今日回复10+次,,500-1000人,,,1年及以上,北京·朝阳区,,,物业管理/商业中心,,,
北京·昌平区,电子厂普工,6.5-7.5千,绩效奖金|绩效奖金|提供免费住宿|提供免费住宿|加班费|加班费|全勤奖|全勤奖|餐补|餐补|,北京外企人力资源服务有限公司,专业服务(咨询、人力资源、财会)|国企|10000人以上|,,,,,,2025/04/02 10:07:50,51job,简历处理快,,10000人以上,,高中,无需经验,北京·昌平区,,,专业服务(咨询、人力资源、财会),,,
北京·顺义区,操作工,4-6千,节日福利|节日福利|带薪年假|带薪年假|生日福利|生日福利|月休4天|月休4天|季度福利|季度福利|五险|五险|定期体检|定期体检|,北京顺鑫农业股份有限公司创新食品分公司,快速消费品(食品、饮料、化妆品)|国企|150-500人|,,,,,,2025/04/02 10:07:51,51job,今日回复4次,,150-500人,,初中及以下,2年及以上,北京·顺义区,,,快速消费品(食品、饮料、化妆品),,,
北京,北京电脑厂330/天包吃住,8千-1.3万·14薪,包吃住|包吃住|五险一金|五险一金|五险|五险|绩效奖金|绩效奖金|加班补贴|加班补贴|高温补贴|高温补贴|餐饮补贴|餐饮补贴|房补|房补|商业保险|商业保险|带薪年假|带薪年假|免费班车|免费班车|可预支|可预支|全勤奖|全勤奖|工作轻松|工作轻松|人走账清|人走账清|,山东泓捷锦硕企业管理有限公司,专业服务(咨询、人力资源、财会)|民营|500-1000人|,,,,,,2025/04/02 10:07:51,51job,,,500-1000人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,北京phone耳机装盒+36-小时+长白班5K奖金,9千-1.2万,质检|质检|分拣|分拣|贴标签|贴标签|打包装|打包装|工资结算|工资结算|劳动合同|劳动合同|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|可预支|可预支|人走账清|人走账清|免费班车|免费班车|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|五险一金|五险一金|包住|包住|五险|五险|社保|社保|年终奖金|年终奖金|,苏州美都服务外包有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:51,51job,3分钟前回复,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,北京新厂急招质检300/天包食宿长白班,9.8千-1.3万·14薪,包吃住|包吃住|加班补贴|加班补贴|高温补贴|高温补贴|交通补贴|交通补贴|五险一金|五险一金|年终奖金|年终奖金|补充医疗保险|补充医疗保险|绩效奖金|绩效奖金|通讯补贴|通讯补贴|房补|房补|餐饮补贴|餐饮补贴|带薪年假|带薪年假|员工旅游|员工旅游|免费班车|免费班车|节日福利|节日福利|,赛创企业管理（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|500-1000人|,,,,,,2025/04/02 10:07:51,51job,1天内处理简历,,500-1000人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·大兴区,北京360/天可乐厂质检员+五险一金+包吃住,9千-1.3万,测试|测试|质检|质检|巡查|巡查|贴标签|贴标签|包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|带薪年假|带薪年假|年终奖金|年终奖金|绩效奖金|绩效奖金|,苏州美都服务外包有限公司,专业服务(咨询、人力资源、财会)|民营|150-500人|,,,,,,2025/04/02 10:07:51,51job,8分钟前回复,,150-500人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京,北京新能源380天奖金3000,8.5千-1.2万·13薪,招聘|招聘|包装|包装|仓库管理|仓库管理|贴标签|贴标签|物料|物料|操作|操作|品检|品检|扫码|扫码|手工活|手工活|巡检|巡检|包吃住|包吃住|五险一金|五险一金|年终奖金|年终奖金|加班补贴|加班补贴|交通补贴|交通补贴|餐饮补贴|餐饮补贴|房补|房补|补充医疗保险|补充医疗保险|商业保险|商业保险|节日福利|节日福利|专业培训|专业培训|全勤奖|全勤奖|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|,山东埕信闳商务管理有限公司,专业服务(咨询、人力资源、财会)|民营|500-1000人|,,,,,,2025/04/02 10:07:52,51job,3分钟前回复,,500-1000人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·大兴区,大兴360一天长白班小玩具包装,9千-1.3万·14薪,测试|测试|质检|质检|分拣|分拣|贴标签|贴标签|打包装|打包装|工资结算|工资结算|劳动合同|劳动合同|包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|交通补贴|交通补贴|加班补贴|加班补贴|商业保险|商业保险|节日福利|节日福利|免费班车|免费班车|员工旅游|员工旅游|带薪年假|带薪年假|房补|房补|社保|社保|工龄奖|工龄奖|绩效奖金|绩效奖金|,山东百鑫人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:52,51job,今日回复10+次,,少于50人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京·平谷区,北京饮料厂贴签/360天/包吃住,8千-1.1万·13薪,包装|包装|品检|品检|仓库管理|仓库管理|操作|操作|扫码|扫码|物料员|物料员|贴标签|贴标签|巡检|巡检|招聘|招聘|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|包住|包住|交通补贴|交通补贴|带薪年假|带薪年假|五险一金|五险一金|五险|五险|餐饮补贴|餐饮补贴|专业培训|专业培训|社保|社保|,昱泽信息科技（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:52,51job,今日回复10+次,,少于50人,,,无需经验,北京·平谷区,,,专业服务(咨询、人力资源、财会),,,
北京,北京手机厂10000月/新人奖8k,8千-1.3万·14薪,包吃住|包吃住|五险一金|五险一金|社保|社保|年终奖金|年终奖金|绩效奖金|绩效奖金|加班补贴|加班补贴|,苏达众（山东）人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:53,51job,今日回复10+次,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京,北京啤酒厂360/天包吃住+奖金5k,9千-1.3万·13薪,测试|测试|包吃住|包吃住|包吃|包吃|包住|包住|人走账清|人走账清|可预支|可预支|,全椒宏弈人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:53,51job,今日回复10+次,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
北京·大兴区,北京360一天长白班小玩具包装,9千-1.3万·14薪,测试|测试|质检|质检|分拣|分拣|贴标签|贴标签|打包装|打包装|工资结算|工资结算|劳动合同|劳动合同|包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|交通补贴|交通补贴|加班补贴|加班补贴|商业保险|商业保险|节日福利|节日福利|免费班车|免费班车|员工旅游|员工旅游|带薪年假|带薪年假|房补|房补|社保|社保|工龄奖|工龄奖|绩效奖金|绩效奖金|,山东百鑫人力资源有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:53,51job,今日回复10+次,,少于50人,,,无需经验,北京·大兴区,,,专业服务(咨询、人力资源、财会),,,
北京·西城区,北京饮料厂贴签/360天/包吃住,8千-1.1万·13薪,包装|包装|品检|品检|仓库管理|仓库管理|操作|操作|扫码|扫码|物料员|物料员|贴标签|贴标签|巡检|巡检|招聘|招聘|包吃住|包吃住|加班补贴|加班补贴|商业保险|商业保险|定期体检|定期体检|节日福利|节日福利|高温补贴|高温补贴|包吃|包吃|包住|包住|交通补贴|交通补贴|带薪年假|带薪年假|五险一金|五险一金|五险|五险|餐饮补贴|餐饮补贴|专业培训|专业培训|社保|社保|,昱泽信息科技（山东）有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:53,51job,今日回复10+次,,少于50人,,,无需经验,北京·西城区,,,专业服务(咨询、人力资源、财会),,,
北京,北京啤酒厂月9000包吃住/奖金5k,9千-1.2万,测试|测试|组装产品|组装产品|检验|检验|质检|质检|贴标签|贴标签|操作工|操作工|路费报销|路费报销|包吃住|包吃住|包吃|包吃|包住|包住|五险一金|五险一金|年终奖金|年终奖金|绩效奖金|绩效奖金|加班补贴|加班补贴|可预支|可预支|人走账清|人走账清|工作轻松|工作轻松|弹性工作|弹性工作|全勤奖|全勤奖|工龄奖|工龄奖|,全椒宏弈人力资源服务有限公司,专业服务(咨询、人力资源、财会)|民营|少于50人|,,,,,,2025/04/02 10:07:54,51job,今日回复10+次,,少于50人,,,无需经验,北京,,,专业服务(咨询、人力资源、财会),,,
